Campaign,Keyword,Criterion type,Match type
Search - Wedding Bands Ireland,top wedding bands ireland,Campaign negative,Exact
Search - Wedding Bands Ireland,top 10 wedding bands ireland,Campaign negative,Exact
Search - County Wedding Bands,top wedding bands ireland,Campaign negative,Exact
Search - County Wedding Bands,top 10 wedding bands ireland,Campaign negative,Exact
Search - Brand & Bands,top wedding bands ireland,Campaign negative,Exact
Search - Brand & Bands,top 10 wedding bands ireland,Campaign negative,Exact
Search - Venue Wedding Bands,top wedding bands ireland,Campaign negative,Exact
Search - Venue Wedding Bands,top 10 wedding bands ireland,Campaign negative,Exact
